ptp,rt,response,time_elapsed
sub_001,46207.19999998808,everything works fine but i dont understand how this experiment makes any sense unless it's all just down to a lucky guess,46217
sub_001,5438.5,,5448
sub_001,1392.6000000238419,,1400
sub_001,1276.8999999761581,,1285
sub_001,2179.1999999284744,,2186
sub_001,1848.7000000476837,,1857
sub_001,1568.6999999284744,,1576
sub_001,1732.6000000238419,,1741
sub_001,1568.3000000715256,,1575
sub_001,1359.7999999523163,,1367
sub_001,1473.6999999284744,,1482
sub_002,3311.399999976158,,3321
sub_002,3336.300000011921,,3342
sub_002,1686.199999988079,,1691
sub_002,10254.799999952316,,10261
sub_002,1777.8999999761581,,1783
sub_002,1547.9000000357628,,1553
sub_002,1666.199999988079,,1671
sub_002,3124.899999976158,,3131
sub_002,1480.8999999761581,,1486
sub_002,1409.4000000357628,,1415
sub_002,1490.5,,1496
sub_003,7589.4000000059605,,7603
sub_003,1921.300000011921,,1933
sub_003,1811,,1823
sub_003,2459.199999988079,,2472
sub_003,3487.5,,3501
sub_003,2534.2999999821186,,2548
sub_003,6773.9000000059605,,6788
sub_003,4133.4000000059605,,4149
sub_003,4202.5,,4216
sub_003,2693.5999999940395,,2703
sub_003,1928.699999988079,,1940
sub_004,7908.399999976158,,7913
sub_004,2688.9000000953674,,2696
sub_004,1477.0999999046326,,1483
sub_004,1435.7999999523163,,1444
sub_004,912.6000000238419,,918
sub_004,1346.3999999761581,,1351
sub_004,771,,776
sub_004,1616.8999999761581,,1624
sub_004,1163.7999999523163,,1168
sub_004,1484.3999999761581,,1490
sub_004,1232.2000000476837,,1238
sub_005,7316.200000047684,,7328
sub_005,3082.0999999046326,,3089
sub_005,1278.7999999523163,,1285
sub_005,3600.5999999046326,,3607
sub_005,1962.9000000953674,,1968
sub_005,2719,,2724
sub_005,2062,,2069
sub_005,1881.2999999523163,,1887
sub_005,1649.9000000953674,,1656
sub_005,1261.8999998569489,,1269
sub_005,1462.2000000476837,,1468
sub_006,9224.399999976158,,9248
sub_006,4758.199999988079,,4770
sub_006,1455.699999988079,,1466
sub_006,1580.5999999642372,,1591
sub_006,1365.300000011921,,1376
sub_006,1214.199999988079,,1225
sub_006,1257.199999988079,,1273
sub_006,1199.7999999523163,,1210
sub_006,1001.1999999880791,,1014
sub_006,1916.5,,1930
sub_006,5707.100000023842,,5719
sub_007,6706.800000011921,,6716
sub_007,4440.399999976158,,4449
sub_007,11634.300000011921,,11644
sub_007,12209.300000011921,,12218
sub_007,8413.400000035763,,8422
sub_007,6992.5,,7002
sub_007,9633.800000011921,,9643
sub_007,12124,,12134
sub_007,3168,,3176
sub_007,2011.4000000357628,,2020
sub_007,16656.100000023842,,16665
sub_008,4206.60000000149,,4213
sub_008,1673.5999999977648,,1678
sub_008,2188,,2192
sub_008,2891,,2896
sub_008,2691.800000000745,,2695
sub_008,1462.800000000745,,1467
sub_008,1091.0999999977648,,1095
sub_008,2391.300000000745,,2395
sub_008,28539.29999999702,,28548
sub_008,1414.800000000745,,1420
sub_008,1826.9000000022352,,1834
sub_009,7369,,7380
sub_009,2190,,2202
sub_009,2082,,2111
sub_009,2261,,2274
sub_009,1625,,1635
sub_009,1760,,1771
sub_009,2103,,2123
sub_009,1631,,1644
sub_009,1284,,1309
sub_009,2818,,2831
sub_009,2398,,2410
sub_010,11861.399999976158,yes,11883
sub_010,10970.5,,10984
sub_010,3160.600000023842,,3172
sub_010,3598,,3611
sub_010,2967.399999976158,,2979
sub_010,12722.199999988079,,12736
sub_010,1959.199999988079,,1967
sub_010,1304.300000011921,,1317
sub_010,1629.5,,1636
sub_010,2346,,2358
sub_010,2132.199999988079,,2144
sub_011,5452.5,,5468
sub_011,2295.0999999996275,,2303
sub_011,976,,983
sub_011,1904.1000000005588,,1912
sub_011,1618.7000000001863,,1627
sub_011,1166.7999999998137,,1176
sub_011,692.1999999992549,,700
sub_011,5066.100000000559,,5074
sub_011,1783.4000000003725,,1791
sub_011,4625.200000000186,,4633
sub_011,2189.5,,2197
sub_012,8655.700000047684,,8659
sub_012,1287.699999988079,,1290
sub_012,1107.3999999761581,,1114
sub_012,1389.199999988079,,1391
sub_012,5296.5,,5299
sub_012,7111.100000023842,,7113
sub_012,895.6999999880791,,898
sub_012,1317.699999988079,,1319
sub_012,1309.4000000357628,,1311
sub_012,1014.5,,1017
sub_012,1061.199999988079,,1063
sub_013,5170.699999988079,,5175
sub_013,3325.300000011921,,3328
sub_013,1443.300000011921,,1452
sub_013,1634.199999988079,,1637
sub_013,1708.199999988079,,1711
sub_013,2587.300000011921,,2591
sub_013,1265.3999999761581,,1267
sub_013,1841.199999988079,,1844
sub_013,1662.6000000238419,,1666
sub_013,1400.300000011921,,1404
sub_013,2064.399999976158,,2069
sub_014,15108.800000011921,,15128
sub_014,4055.5999999940395,,4059
sub_014,3832.2999999821186,,3841
sub_014,18205.399999976158,,18211
sub_014,2031,,2036
sub_014,1533.1000000238419,,1538
sub_014,22725.59999999404,,22731
sub_014,2468,,2477
sub_014,1596,,1616
sub_014,1531.800000011921,,1536
sub_014,2032.5,,2044
sub_015,28253.599999964237,Everything showed up okay. There was a bit of lag with the boards loading however.,28258
sub_015,3393.699999988079,,3397
sub_015,1833,,1836
sub_015,1287,,1289
sub_015,1610.800000011921,,1614
sub_015,1795,,1797
sub_015,1439.7000000476837,,1442
sub_015,1354.199999988079,,1357
sub_015,1869.800000011921,,1872
sub_015,1399.199999988079,,1402
sub_015,2387.5,,2390
sub_016,9909.80000000028,,9922
sub_016,2124.0999999996275,,2127
sub_016,1062.1000000005588,,1066
sub_016,1639.699999999255,,1645
sub_016,1070.2000000001863,,1077
sub_016,1075.0999999996275,,1077
sub_016,1112.4000000003725,,1120
sub_016,1030.4000000003725,,1034
sub_016,1402.3999999994412,,1409
sub_016,711.2999999998137,,719
sub_016,770.3999999994412,,774
sub_017,6306.399999976158,yes,6314
sub_017,6089.899999976158,yes,6095
sub_017,3586.100000023842,,3591
sub_017,978.7999999523163,,983
sub_017,1440.9000000953674,,1447
sub_017,1145.1000000238419,,1148
sub_017,1460.3999999761581,,1472
sub_017,962.6000000238419,,967
sub_017,1241.5999999046326,,1245
sub_017,1092.1000000238419,,1096
sub_017,1441.6000000238419,,1446
sub_018,3105.100000023842,,3147
sub_018,35201.90000003576,,35212
sub_018,4434.699999988079,,4443
sub_018,2164,,2173
sub_018,3236.100000023842,,3246
sub_018,11864.699999988079,,11901
sub_018,6710.5,,6720
sub_018,15080.5,,15126
sub_018,1478,,1490
sub_018,15081.400000035763,,15088
sub_018,1571.300000011921,,1580
sub_019,7384,,7388
sub_019,6599.5,,6610
sub_019,4312.5,,4323
sub_019,3543.8000000715256,,3556
sub_019,2516.5,,2522
sub_019,2971.2999999523163,,2975
sub_019,3206,,3217
sub_019,2878.7999999523163,,2883
sub_019,2202.899999976158,,2214
sub_019,2629.899999976158,,2641
sub_019,2254.899999976158,,2269
sub_020,3822.5999999940395,,3827
sub_020,7032.199999988079,really difficult,7035
sub_020,2329.5,,2338
sub_020,1624,,1627
sub_020,9620,,9623
sub_020,1726.300000011921,,1729
sub_020,898.4000000059605,,900
sub_020,1108.300000011921,,1110
sub_020,1440.6000000238419,,1443
sub_020,814.7999999821186,,818
sub_020,39788.70000001788,,39791
sub_021,64617.60000000149,"No issues,it's just a bit too fast for my brain to register all of them simultaneously I suspect,but maybe with practice that will improve...",64627
sub_021,10654.800000000745,,10660
sub_021,3190.800000000745,,3196
sub_021,2175.60000000149,,2180
sub_021,1733.800000000745,,1738
sub_021,1888.9000000022352,,1893
sub_021,2511.5,,2517
sub_021,1832.5999999977648,,1837
sub_021,1980.300000000745,,1984
sub_021,1646.199999999255,,1651
sub_021,2033.3999999985099,,2038
sub_022,128873,"Yes I made adjustments to my screen to see the whole screen.  However, when I did this, the images appeared even smaller so a little hard to see.  Maybe this study should have been created in a smaller screen so as to fit a normal screen, instead of us having to make adjustments to fit this study.",128890
sub_022,27277.100000023842,Yes I made adjustments to my screen to see the whole full board.,27299
sub_022,20078.5,Yes I saw full screen.,20095
sub_022,2908.399999976158,,2920
sub_022,1956.300000011921,,1973
sub_022,2260.399999976158,,2267
sub_022,1687.800000011921,,1699
sub_022,1590.3999999761581,,1608
sub_022,1439.199999988079,,1445
sub_022,35409.5,,35428
sub_022,2766.400000035763,,2779
sub_023,2506.1000000089407,,2512
sub_023,2588.2999999970198,,2590
sub_023,1184.5999999940395,,1188
sub_023,1449.6000000089407,,1453
sub_023,1007.7000000029802,,1010
sub_023,1291.5999999940395,,1294
sub_023,1121.699999988079,,1124
sub_023,991.4000000059605,,994
sub_023,1847.8999999910593,,1851
sub_023,1321.2999999970198,,1324
sub_023,1145.9000000059605,,1149
sub_024,10328.199999809265,,10335
sub_024,27040.700000286102,,27047
sub_024,2296.4000000953674,,2302
sub_024,1903.6999998092651,,1908
sub_024,1726.5,,1731
sub_024,27625.700000286102,,27631
sub_024,1965.0999999046326,,1969
sub_024,2445.9000000953674,,2450
sub_024,1757.6999998092651,,1760
sub_024,1896,,1902
sub_024,2174.5,,2180
sub_025,81979.19999999925,"I saw everything, got the feedback as well. Sometimes I clicked close but obviously not close enough and the other times I just couldn't remember where the image was. I didn't get any of the practice ones correct :( I need more practice ",81984
sub_025,33053.40000000037,"I saw the board the feedback text, there were no issues ",33061
sub_025,2386.4000000003725,,2396
sub_025,1424.800000000745,,1436
sub_025,4171,,4183
sub_025,1240.199999999255,,1250
sub_025,1212.0999999996275,,1219
sub_025,74616.09999999963,"Sorry my mouse froze for a few seconds in the middle of the las trial, I'm having slight problem typing as well, it's very slow.",74621
sub_025,2029.800000000745,,2035
sub_025,1599.5,,1603
sub_025,1106.699999999255,,1118
sub_026,16978.59999999404,,16985
sub_026,3219.3999999910593,,3223
sub_026,11428.5,,11434
sub_026,1963.0999999940395,,1968
sub_026,1528,,1534
sub_026,4631.5999999940395,,4635
sub_026,1545.7999999970198,,1549
sub_026,1518.8999999910593,,1524
sub_026,1440.699999988079,,1446
sub_026,1591.2999999970198,,1596
sub_026,3423.5,,3429
sub_027,7076.200000001118,,7082
sub_027,2430.199999999255,,2436
sub_027,1788.9000000003725,,1795
sub_027,1661.0999999996275,,1666
sub_027,1686.7000000011176,,1695
sub_027,1577.5,,1583
sub_027,1336,,1341
sub_027,1270.5999999996275,,1277
sub_027,1786.9000000003725,,1795
sub_027,1292.699999999255,,1299
sub_027,1382.300000000745,,1388
sub_028,3227.5,,3235
sub_028,2772.300000011921,,2779
sub_028,1184.5,,1190
sub_028,966.3000000119209,,973
sub_028,894.6000000238419,,900
sub_028,694.1999999880791,,700
sub_028,4398.300000011921,,4405
sub_028,770.1999999880791,,777
sub_028,822.5,,834
sub_028,8055.399999976158,,8062
sub_028,1238.699999988079,,1246
sub_029,5071.800000011921,,5082
sub_029,2220.300000011921,,2228
sub_029,1380.7000000476837,,1387
sub_029,6106.699999988079,,6114
sub_029,15221.300000011921,,15228
sub_029,29408.900000035763,,29415
sub_029,1474.300000011921,,1480
sub_029,628881.6000000238,,628882
sub_029,2194.800000011921,,2199
sub_029,1641.699999988079,,1648
sub_029,1149.199999988079,,1155
sub_030,3112,,3117
sub_030,2631.900000002235,,2637
sub_030,1037.199999999255,,1041
sub_030,998.3000000007451,,1002
sub_030,827.3000000007451,,830
sub_030,891.6999999992549,,895
sub_030,1176.1000000014901,,1179
sub_030,769,,773
sub_030,1263.8999999985099,,1267
sub_030,1447.5999999977648,,1451
sub_030,647.6000000014901,,652
sub_031,8791.5,,8809
sub_031,3798.2000000476837,,3808
sub_031,5953.800000071526,,5964
sub_031,5825.200000047684,,5835
sub_031,3271.3000000715256,,3280
sub_031,1839.9000000953674,,1849
sub_031,2623.3000000715256,,2632
sub_031,2372.2000000476837,,2382
sub_031,3672.399999976158,,3682
sub_031,2021.8999999761581,,2031
sub_031,1548.7999999523163,,1585
sub_032,12479.399999976158,,12492
sub_032,4087.2999999523163,,4093
sub_032,2039.3999999761581,,2044
sub_032,1417.2000000476837,,1428
sub_032,3065.2999999523163,,3070
sub_032,3005.1999999284744,,3016
sub_032,1616.1999999284744,,1630
sub_032,1661.2999999523163,,1669
sub_032,6603.799999952316,,6617
sub_032,95878.30000007153," - Note ( in the previous rounds I did not see my scroll bar and thought the visible pictures to type the names of in the box were not visible on screen, I only realised in the later rounds that once scrolled up I could see them. I assumed it would have all fit on the one page. My apologies",95891
sub_032,1652.2000000476837,,1665
sub_033,6508.400000572205,,6526
sub_033,8123.199999809265,,8135
sub_033,3252.5,,3263
sub_033,2620,,2630
sub_033,2463.1000003814697,,2473
sub_033,3099.1000003814697,,3109
sub_033,5175.39999961853,,5187
sub_033,4646.39999961853,,4658
sub_033,2493.7000007629395,,2504
sub_033,2541.8999996185303,,2551
sub_033,1924.3999996185303,,1933
sub_034,24284.10000000894,,24291
sub_034,67738.09999999404,,67747
sub_034,18461,,18468
sub_034,10086.300000011921,,10093
sub_034,1315.6000000089407,,1321
sub_034,2489.800000011921,,2495
sub_034,1178.8999999910593,,1186
sub_034,1250.5999999940395,,1257
sub_034,1174.7000000029802,,1180
sub_034,1358.7999999970198,,1365
sub_034,1366.5,,1372
sub_035,10877,,10882
sub_035,4078,,4082
sub_035,1400,,1403
sub_035,3013,,3014
sub_035,1895,,1899
sub_035,3497,,3499
sub_035,1977,,1981
sub_035,2371,,2374
sub_035,3460,,3463
sub_035,1252,,1253
sub_035,1597,,1600
sub_036,13742.899999976158,,13747
sub_036,2533.899999976158,,2536
sub_036,3404,,3406
sub_036,2464.399999976158,,2467
sub_036,1116.6000000238419,,1122
sub_036,1584.6000000238419,,1586
sub_036,1782.2999999523163,,1784
sub_036,677.1000000238419,,679
sub_036,1815.6000000238419,,1817
sub_036,1333.8999999761581,,1335
sub_036,1900.6999999284744,,1903
sub_037,8674.39999999851,,8680
sub_037,2579.5999999940395,,2588
sub_037,1609.7999999970198,,1616
sub_037,1503.6999999955297,,1509
sub_037,1579.2999999970198,,1587
sub_037,1262.3999999985099,,1266
sub_037,1494.7000000029802,,1498
sub_037,1792,,1796
sub_037,41388.89999999851,,41395
sub_037,69291.60000000149,,69295
sub_037,1507.6000000014901,,1517
sub_038,5270.299999982119,,5273
sub_038,2357.699999988079,,2359
sub_038,1077.0999999940395,,1078
sub_038,1123.4000000059605,,1125
sub_038,1801.199999988079,,1803
sub_038,793.4000000059605,,795
sub_038,943.1999999880791,,945
sub_038,641.5999999940395,,644
sub_038,1837.5999999940395,,1839
sub_038,1420.3999999761581,,1422
sub_038,984.7999999821186,,987
sub_039,2668.4000000953674,,2673
sub_039,1875.2000000476837,,1879
sub_039,1099.3999998569489,,1102
sub_039,43330.799999952316,,43330
sub_039,1168,,1171
sub_039,435.2000000476837,,443
sub_039,76733.20000004768,,76734
sub_039,704,,707
sub_039,929.2000000476837,,934
sub_039,1433.2000000476837,,1436
sub_039,112261.40000009537,,112261
sub_040,28639,"Yes, the board was shifting a little in the boarder between turns but I think this was intentional.",28643
sub_040,43837.7999997139,I think I'm seeing everything as the example images showed but this is very hard without some sort of grid system.  I'm often close but not getting the exact square as I don't have squares to aim for!,43839
sub_040,12261,same as before so I think it is ok.,12263
sub_040,2764.7000002861023,,2767
sub_040,1924,,1926
sub_040,1317.5,,1320
sub_040,3044.9000000953674,,3047
sub_040,1303.8999996185303,,1306
sub_040,1651.3000001907349,,1654
sub_040,2533.199999809265,,2535
sub_040,1311,,1314
sub_041,4756.5,,4770
sub_041,3972.399999999907,,3979
sub_041,1902.5999999996275,,1936
sub_041,2383.7999999998137,,2394
sub_041,2597.2000000001863,,2603
sub_041,3234.7999999998137,,3247
sub_041,2390,,2398
sub_041,2375.7999999998137,,2383
sub_041,3190.5999999996275,,3198
sub_041,1922.2000000001863,,1928
sub_041,2025.7000000001863,,2031
sub_042,10550.5,,10557
sub_042,6975.9000000059605,,6980
